Species,Number of ASVs
Streptomyces sp. G4_9,1
Streptomyces sp. G1_7,1
Streptomyces sp. G1_6,1
Streptomyces sp. FXJ6.389,1
Streptomyces sp. FXJ6.196,1
Streptomyces sp. FSBRD4,1
Streptomyces sp. FMA_245,1
Streptomyces sp. F6-3,1
Streptomyces sp. F3(2014),1
Streptomyces sp. EN3,1
Streptomyces sp. EF-16,1
Streptomyces sp. EAAG78,1
Streptomyces sp. E23102,1
Streptomyces sp. E-070,1
Streptomyces sp. DSM 40537,1
Streptomyces sp. DR-R70,1
Streptomyces sp. DR-R59,1
Streptomyces sp. DLS-43,1
Streptomyces sp. DAN2,1
Streptomyces sp. DA08506,1
Streptomyces sp. DA01059,1
Streptomyces sp. D25,1
Streptomyces sp. D16(2014),1
Streptomyces sp. D15,1
Streptomyces sp. D13(2010),1
Streptomyces sp. CTDF1,1
 Streptomyces sp. CS,1
Streptomyces sp. CNS-753_SF06,1
Streptomyces sp. CNS-740_SD06_MAR2,1
Streptomyces sp. CNS-578_SD06,1
Streptomyces sp. CNQ-259_SD01,1
Streptomyces sp. CNQ-233_SD01_MAR2,1
Streptomyces sp. CNQ-138_SD01,1
Streptomyces sp. CNQ-090_SD01,1
Streptomyces sp. CNQ-085_SD01,1
Streptomyces sp. CMDD10A085,1
Streptomyces sp. CG252,1
Streptomyces sp. CG-323,1
Streptomyces sp. CAI-132,1
Streptomyces sp. CACIS-2.18CA,1
Streptomyces sp. C6,1
Streptomyces sp. BT01,1
Streptomyces sp. BS1b1,1
Streptomyces sp. BC37,1
Streptomyces sp. B66,1
Streptomyces sp. AUNIA-4,1
Streptomyces sp. AR12,1
Streptomyces sp. ANsum5,1
Streptomyces sp. AMS37,1
Streptomyces sp. AM2,1
Streptomyces sp. AL2,1
Streptomyces sp. Al-Dhabi-1,1
Streptomyces sp. AH4,1
Streptomyces sp. AH030027,1
Streptomyces sp. AC40,1
Streptomyces sp. AC3nlg,1
Streptomyces sp. AB5E,1
Streptomyces sp. AB5B,1
Streptomyces sp. Aac-39,1
Streptomyces sp. Aac-17,1
Streptomyces sp. A93,1
Streptomyces sp. A64,1
Streptomyces sp. A324Ydz-QZ,1
Streptomyces sp. 49429,1
Streptomyces sp. 45(2014),1
Streptomyces sp. 4349,1
Streptomyces sp. 4188,1
Streptomyces sp. 41293,1
Streptomyces sp. 41268,1
Streptomyces sp. 4017,1
Streptomyces sp. 4-22,1
Streptomyces sp. 3MY4,1
Streptomyces sp. 31C,1
Streptomyces sp. 3-166,1
Streptomyces sp. 2H51-1,1
Streptomyces sp. 2A26,1
Streptomyces sp. 28a-34-4,1
Streptomyces sp. 212233,1
streptomyces sp. 1A01530,1
Streptomyces sp. 19504,1
Streptomyces sp. 180(2010),1
Streptomyces sp. 172712,1
Streptomyces sp. 172614,1
Streptomyces sp. 160317,1
Streptomyces sp. 14CM010,1
Streptomyces sp. 13674O,1
Streptomyces sp. 13658I,1
Streptomyces sp. 13650C,1
Streptomyces sp. 13638B,1
Streptomyces sp. 132,1
Streptomyces sp. 112108,1
Streptomyces sp. 102P11-6,1
Streptomyces sp. 050643,1
 Streptomyces sp.,2
 Streptomyces shenzhenensis,1
 Streptomyces scabrisporus,2
 Streptomyces scabiei subsp. chosun,1
 Streptomyces scabiei,3
 Streptomyces sanyensis,1
 Streptomyces sannurensis,1
 Streptomyces sannanensis,1
 Streptomyces sanglieri,1
 Streptomyces roseoverticillatus,1
 Streptomyces roseofulvus,1
 Streptomyces roseochromogenus subsp. albocyclini,1
 Streptomyces roseiscleroticus,1
 Streptomyces rochei,4
 Streptomyces resistomycificus,1
 Streptomyces rectiviolaceus,1
 Streptomyces radiopugnans,1
 Streptomyces pseudovenezuelae,1
 Streptomyces prasinus,1
 Streptomyces platensis,1
 Streptomyces pharmamarensis,1
 Streptomyces phaeochromogenes,3
 Streptomyces pathocidini,1
 Streptomyces parvulus,1
 Streptomyces paraguayensis,1
 Streptomyces panayensis,1
 Streptomyces panacagri,1
 Streptomyces pactum,2
 Streptomyces osmaniensis,1
 Streptomyces olivochromogenes,2
 Streptomyces nogalater,2
 Streptomyces niveus,1
 Streptomyces niveoruber,1
 Streptomyces netropsis,1
 Streptomyces mucoflavus,1
 Streptomyces monomycini,1
 Streptomyces melanosporofaciens,1
 Streptomyces malachitofuscus,1
 Streptomyces macrosporus,1
 Streptomyces macrosporeus,1
 Streptomyces luteoverticillatus,1
 Streptomyces lushanensis,1
 Streptomyces lavendulocolor,2
 Streptomyces lavendulae,2
 Streptomyces lannensis,1
 Streptomyces katrae,1
 Streptomyces kashimirensis,1
 Streptomyces jumonjinensis,1
 Streptomyces ipomoeae,1
 Streptomyces hygroscopicus subsp. hygroscopicus,1
 Streptomyces hygroscopicus,2
 Streptomyces hirsutus,1
 Streptomyces herbaceus,1
 Streptomyces hainanensis,1
 Streptomyces guanduensis,1
 Streptomyces griseus subsp. griseus,1
 Streptomyces griseus,1
 Streptomyces griseorubiginosus,1
 Streptomyces griseoruber,1
 Streptomyces griseoluteus,1
 Streptomyces glomeroaurantiacus,2
 Streptomyces globisporus subsp. caucasicus,1
 Streptomyces glaucosporus,1
 Streptomyces ghanaensis,1
 Streptomyces galbus,1
 Streptomyces fradiae,2
 Streptomyces flavovariabilis,1
 Streptomyces flavidovirens,1
 Streptomyces flaveus,1
 Streptomyces espinosus,1
 Streptomyces ederensis,1
 Streptomyces echinoruber,1
 Streptomyces durhamensis,1
 Streptomyces decoyicus,1
 Streptomyces deccanensis,1
 Streptomyces cyaneofuscatus,1
 Streptomyces collinus,2
 Streptomyces coeruleofuscus,1
 Streptomyces coelicolor,1
 Streptomyces coelicoflavus,1
 Streptomyces clavuligerus,1
 Streptomyces cinnamonensis,1
 Streptomyces cinnabarinus,1
 Streptomyces cinereus,1
 Streptomyces chromofuscus,1
 Streptomyces chrestomyceticus,2
 Streptomyces champavatii,1
 Streptomyces cellostaticus,1
 Streptomyces cavourensis,1
Streptomyces cattleya NRRL 8057 = DSM 46488,1
 Streptomyces castaneoglobisporus,1
 Streptomyces cangkringensis,1
 Streptomyces beijiangensis,1
 Streptomyces bambergiensis,1
 Streptomyces bacillaris,1
 Streptomyces axinellae,1
 Streptomyces avicenniae,1
 Streptomyces aureus,1
 Streptomyces aureorectus,1
 Streptomyces auratus,1
 Streptomyces atratus,1
 Streptomyces ascomycinicus,1
 Streptomyces armeniacus,1
 Streptomyces antibioticus,1
 Streptomyces albus subsp. albus,1
 Streptomyces albus,2
 Streptomyces albulus,1
 Streptomyces alboflavus,1
 Streptomyces albiaxialis,1
 Streptomyces aidingensis,1
 Streptomyces ahygroscopicus,2
 Streptomyces acrimycini,1
 Streptomyces abyssalis,1
 Streptomyces abietis,1
Kitasatospora azatica KCTC 9699,1
 Candidatus Streptomyces philanthi bv. triangulum,1
Candidatus Streptomyces massiliensis AP10,1
bacterium RUSp02-4,1
bacterium KB11,1
Actinomycetales bacterium AO1511,1
Actinomycetales bacterium AM010,1
Actinomycetales bacterium AM001,1
actinobacterium ZXY028,1
actinobacterium ZXY002,1
actinobacterium M77,1
 Actinoalloteichus cyanogriseus,1
