country,Observed,Number,latitude
GAZ:Antarctica,6.492307692,130,-77.435
GAZ:New Zealand,28.95652174,23,-40.017
GAZ:Australia,9.895538629,919,-37.673563
GAZ:Argentina,20.8,5,-32.8
GAZ:Brazil,10.53488372,43,-23.18
GAZ:Peru,21.25,4,-12.65
GAZ:Tanzania,49.7265625,128,-5.31
GAZ:Ecuador,11,2,-0.351
